loss_train,loss_valid,acc,recall,f_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
tensor(0.0285),tensor(0.4283),0.8479449152946472,0.9285040497779846,0.8470410334779287,64.69919443130493,False,,,1,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-29-24,1635686964,64.69919443130493,23121,user-System-Product-Name,192.168.0.11,64.69919443130493,0,1,68c28_00000
tensor(0.0282),tensor(0.4256),0.8640281558036804,0.913408100605011,0.8626732254594732,59.77809524536133,False,,,2,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-30-24,1635687024,124.47728967666626,23121,user-System-Product-Name,192.168.0.11,124.47728967666626,0,2,68c28_00000
tensor(0.0288),tensor(0.4340),0.8245558738708496,0.944438636302948,0.8260741928603157,60.60624027252197,False,,,3,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-31-25,1635687085,185.08352994918823,23121,user-System-Product-Name,192.168.0.11,185.08352994918823,0,3,68c28_00000
tensor(0.0278),tensor(0.4191),0.8566698431968689,0.9389873147010803,0.8549365854681312,61.14489531517029,False,,,4,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-32-26,1635687146,246.22842526435852,23121,user-System-Product-Name,192.168.0.11,246.22842526435852,0,4,68c28_00000
tensor(0.0292),tensor(0.4372),0.8405340313911438,0.9149805903434753,0.8403458050050127,62.095804929733276,False,,,5,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-33-28,1635687208,308.3242301940918,23121,user-System-Product-Name,192.168.0.11,308.3242301940918,0,5,68c28_00000
tensor(0.0282),tensor(0.4256),0.8415852189064026,0.9429709315299988,0.841078635664536,63.930258989334106,False,,,6,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-34-32,1635687272,372.2544891834259,23121,user-System-Product-Name,192.168.0.11,372.2544891834259,0,6,68c28_00000
tensor(0.0302),tensor(0.4535),0.7724167108535767,0.9660341739654541,0.7843754782521978,65.81298351287842,False,,,7,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-35-38,1635687338,438.0674726963043,23121,user-System-Product-Name,192.168.0.11,438.0674726963043,0,7,68c28_00000
tensor(0.0281),tensor(0.4240),0.8453695178031921,0.9394066333770752,0.8445328004620912,67.84242939949036,False,,,8,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-36-46,1635687406,505.9099020957947,23121,user-System-Product-Name,192.168.0.11,505.9099020957947,0,8,68c28_00000
tensor(0.0275),tensor(0.4160),0.8559339642524719,0.9453821182250977,0.8541066703852396,69.3129231929779,False,,,9,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-37-55,1635687475,575.2228252887726,23121,user-System-Product-Name,192.168.0.11,575.2228252887726,0,9,68c28_00000
tensor(0.0298),tensor(0.4462),0.831861674785614,0.898941159248352,0.8323949322275614,71.43599128723145,False,,,10,bd0379e1810d47cc9637df80446f1651,2021-10-31_21-39-06,1635687546,646.658816576004,23121,user-System-Product-Name,192.168.0.11,646.658816576004,0,10,68c28_00000
