loss_train,loss_valid,acc,recall,f_score,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.01802531200945968,0.541579073275613,0.7747818827629089,0.9657196998596191,0.9032095741869425,67.9196047782898,False,,,1,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-00-19,1635663619,67.9196047782898,17531,user-System-Product-Name,192.168.0.11,67.9196047782898,0,1,1c8ec_00002
0.0180113115729749,0.5408483479415959,0.7708399295806885,0.9694936871528625,0.9043693358926557,64.5844657421112,False,,,2,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-01-23,1635663683,132.504070520401,17531,user-System-Product-Name,192.168.0.11,132.504070520401,0,2,1c8ec_00002
0.018317703822965686,0.5508955864704308,0.7548092007637024,0.9728482961654663,0.9015834466414979,63.94441556930542,False,,,3,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-02-27,1635663747,196.44848608970642,17531,user-System-Product-Name,192.168.0.11,196.44848608970642,0,3,1c8ec_00002
0.019399364176613292,0.5842662007337136,0.7129191756248474,0.9819687604904175,0.8946900759527191,64.26936626434326,False,,,4,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-03-31,1635663811,260.7178523540497,17531,user-System-Product-Name,192.168.0.11,260.7178523540497,0,4,1c8ec_00002
0.018665038505735258,0.5624417544811616,0.7395669221878052,0.9781947731971741,0.900304218756915,64.24676632881165,False,,,5,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-04-36,1635663876,324.9646186828613,17531,user-System-Product-Name,192.168.0.11,324.9646186828613,0,5,1c8ec_00002
0.01756593524324806,0.5291839493560977,0.7765688896179199,0.9706467986106873,0.9068477860932896,65.07619762420654,False,,,6,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-05-41,1635663941,390.04081630706787,17531,user-System-Product-Name,192.168.0.11,390.04081630706787,0,6,1c8ec_00002
0.019414295183766916,0.5852707726909299,0.7107642292976379,0.983017086982727,0.8946974303320412,65.05912351608276,False,,,7,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-06-46,1635664006,455.09993982315063,17531,user-System-Product-Name,192.168.0.11,455.09993982315063,0,7,1c8ec_00002
0.018671715055060486,0.5633117851180433,0.736308217048645,0.9780899286270142,0.8992611907755309,64.66828489303589,False,,,8,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-07-50,1635664070,519.7682247161865,17531,user-System-Product-Name,192.168.0.11,519.7682247161865,0,8,1c8ec_00002
0.017910122952631603,0.538287588902594,0.7650057673454285,0.97578364610672,0.9065135345051771,64.44977688789368,False,,,9,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-08-55,1635664135,584.2180016040802,17531,user-System-Product-Name,192.168.0.11,584.2180016040802,0,9,1c8ec_00002
0.018269190005857378,0.5501258986192735,0.7506570219993591,0.9795576333999634,0.9044940047007595,64.54288029670715,False,,,10,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-09-59,1635664199,648.7608819007874,17531,user-System-Product-Name,192.168.0.11,648.7608819007874,0,10,1c8ec_00002
0.02015253251418807,0.6081542643361771,0.6897929310798645,0.9861620664596558,0.8904692809850354,64.64779829978943,False,,,11,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-11-04,1635664264,713.4086802005768,17531,user-System-Product-Name,192.168.0.11,713.4086802005768,0,11,1c8ec_00002
0.019930588673269196,0.6015246524603275,0.6963628530502319,0.9861620664596558,0.8923891475988801,64.88497114181519,False,,,12,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-12-09,1635664329,778.293651342392,17531,user-System-Product-Name,192.168.0.11,778.293651342392,0,12,1c8ec_00002
0.018314712220837477,0.5522859393015251,0.7482917904853821,0.9795576333999634,0.9037782125790175,64.3719732761383,False,,,13,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-13-13,1635664393,842.6656246185303,17531,user-System-Product-Name,192.168.0.11,842.6656246185303,0,13,1c8ec_00002
0.01836374092019341,0.5541627299070709,0.7459791898727417,0.9801865816116333,0.9034687782561246,64.53024101257324,False,,,14,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-14-18,1635664458,907.1958656311035,17531,user-System-Product-Name,192.168.0.11,907.1958656311035,0,14,1c8ec_00002
0.018383702990637747,0.5539277572164046,0.7461894154548645,0.9778802990913391,0.902103729255756,65.0198163986206,False,,,15,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-15-23,1635664523,972.2156820297241,17531,user-System-Product-Name,192.168.0.11,972.2156820297241,0,15,1c8ec_00002
0.019103381643130513,0.5759116413793666,0.7234311103820801,0.980815589427948,0.8970980252277793,64.27728486061096,False,,,16,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-16-27,1635664587,1036.492966890335,17531,user-System-Product-Name,192.168.0.11,1036.492966890335,0,16,1c8ec_00002
0.01908582381892041,0.576123646192717,0.721906840801239,0.9824929237365723,0.8976775521567845,64.5515878200531,False,,,17,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-17-32,1635664652,1101.0445547103882,17531,user-System-Product-Name,192.168.0.11,1101.0445547103882,0,17,1c8ec_00002
0.020202312187490905,0.6098680141050332,0.6871123909950256,0.9872103929519653,0.8903279157490498,65.34959602355957,False,,,18,c5a6f64edefb4d1ba57d94819be57432,2021-10-31_15-18-37,1635664717,1166.3941507339478,17531,user-System-Product-Name,192.168.0.11,1166.3941507339478,0,18,1c8ec_00002
